artikul,mehsul_adi,aciqlama,ilkin_qiymet,kataloq_qiymeti,anbar_qiymeti,saticilara_ozel_endirimli_qiymet,mehsul_bali
3624,Parfümləşdirilmiş duş gel-yağı Pink Orchid,Parfümləşdirilmiş duş gel-yağı Pink Orchid - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/010603-092962?sponsornumber=733560909&page=0,11.99,9.09,6.73,4.36,4.08
3622,Parfümləşdirilmiş duş geli Pink Orchid,Parfümləşdirilmiş duş geli Pink Orchid - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/010603-092960?sponsornumber=733560909&page=0,14.39,9.59,7.1,5.25,4.3
13013,Əl və bədən üçün krem-parfüm Pink Orchid,Əl və bədən üçün krem-parfüm Pink Orchid - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/010803-085940?sponsornumber=733560909&page=0,14.39,9.59,7.1,5.25,4.3
3632,Parfümləşdirilmiş bədən duzlu skrabı Pink Orchid,Parfümləşdirilmiş bədən duzlu skrabı Pink Orchid - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/010603-096551?sponsornumber=733560909&page=0,19.19,14.39,10.66,7.03,6.46
13014,Parfümləşdirilmiş bədən və saç misti Pink Orchid,Parfümləşdirilmiş bədən və saç misti Pink Orchid - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01080503-085941?sponsornumber=733560909&page=0,9.59,7.19,5.33,3.47,3.23
56900,Həcmli kirpik tuşu Wow So Volume,Həcmli kirpik tuşu Wow So Volume - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01020104-091027?sponsornumber=733560909&page=0,11.99,5.39,3.99,,1.21
12212,iSeul yuma üçün gel-buz,iSeul yuma üçün gel-buz - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01080202-092646?sponsornumber=733560909&page=0,28.79,15.59,11.55,,7.0
10321,Vitamania “Qreypfrut və quava” vitaminli duş geli,Vitamania “Qreypfrut və quava” vitaminli duş geli - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/010603-063945?sponsornumber=733560909&page=0,9.59,4.79,3.55,,1.08
10363,Vitamania “Qreypfrut və quava” duzlu bədən skrabı,Vitamania “Qreypfrut və quava” duzlu bədən skrabı - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/010603-084508?sponsornumber=733560909&page=0,16.79,9.09,6.73,,2.04
10364,Vitamania “Manqo və papayya” duzlu bədən skrabı,Vitamania “Manqo və papayya” duzlu bədən skrabı - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/010603-084509?sponsornumber=733560909&page=0,16.79,9.09,6.73,,2.04
3631,Parfümləşdirilmiş dezodorant Pink Orchid,Parfümləşdirilmiş dezodorant Pink Orchid - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/010602-096542?sponsornumber=733560909&page=0,7.89,5.99,4.44,3.1,2.69
13012,Aromatik diffuzor Pink Orchid,Aromatik diffuzor Pink Orchid - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/011008-085939?sponsornumber=733560909&page=0,47.99,28.79,21.33,17.7,12.93
3623,Parfümləşdirilmiş maye sabun Pink Orchid,Parfümləşdirilmiş maye sabun Pink Orchid - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/010603-092961?sponsornumber=733560909&page=0,9.59,7.19,5.33,3.47,3.23
30388,"Paltarlar və parçalar üçün hamarlaşdırıcı sprey ""Maye ütü""","Paltarlar və parçalar üçün hamarlaşdırıcı sprey ""Maye ütü"" - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/011009-100112?sponsornumber=733560909&page=0",9.59,4.79,3.55,,1.08
910681,Təmizlik üçün universal ikitərəfli salfetlər,Təmizlik üçün universal ikitərəfli salfetlər - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/011002-091587?sponsornumber=733560909&page=0,14.39,7.19,5.33,,1.62
6898-6899,iSeul dodaqlar və yanaqlar üçün ənlik kuşon,iSeul dodaqlar və yanaqlar üçün ənlik kuşon - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/0199-104776?sponsornumber=733560909&page=0,16.79,9.59,7.1,,4.3
5905-5906,It’s Collagen qaşlara həcm verən fiksasiyaedici tuş,It’s Collagen qaşlara həcm verən fiksasiyaedici tuş - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/0199-104775?sponsornumber=733560909&page=0,11.99,5.99,4.44,,1.35
30038,Extra White oksigenli ağardıcı,Extra White oksigenli ağardıcı - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/011009-093018?sponsornumber=733560909&page=0,19.19,9.59,7.1,,2.15
30037,Extra Oxy oksigenli ləkəçıxarıcı,Extra Oxy oksigenli ləkəçıxarıcı - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/011009-093016?sponsornumber=733560909&page=0,19.19,9.59,7.1,,2.15
12164,Vitamania “Qreypfrut və quava” vitaminli bədən misti,Vitamania “Qreypfrut və quava” vitaminli bədən misti - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01080503-076279?sponsornumber=733560909&page=0,5.29,4.09,3.03,1.92,1.84
12213,Retinol 24/7 ikinci çənəyə qarşı parça liftinq-maskası,Retinol 24/7 ikinci çənəyə qarşı parça liftinq-maskası - Faberlic rəsmi məhsulu. Keçid: https://faberlic.com/az/az/product/01080204-092647?sponsornumber=733560909&page=1,5.99,2.89,2.14,,0.65
